sample_id,viability
1,99.7
2,100.3
9,99.8
10,100.2
17,99.4
18,100.6
25,99.9
26,100.1
33,99.7
34,100.3
40,99.9
41,100.1
48,99.7
49,100.3
56,99.9
57,100.1
65,100
66,100
73,99.9
74,100.1
81,100
82,100
89,100.1
90,99.9
97,99.7
98,100.3
104,99.9
105,100.1
110,99.7
111,100.3
117,98.8
118,101.2
125,99.9
126,99.9
127,100.1
134,100
135,100
142,99.3
143,100.7
163,100.3
164,99.7
156,100.1
165,99.9
166,100.1
173,99.9
174,100.1
181,100.5
182,99.5
189,100
190,100
197,100
198,100
205,100
206,100
213,100.3
214,99.7
221,100.1
222,99.9
229,100.1
230,99.9
237,100.5
854,99.5
244,100.5
245,99.5
252,100.5
253,99.5
280,99.8
281,100.2
265,100
266,100
272,99.4
273,100.6
284,100.3
285,99.7
292,99.8
293,100.2
300,99.8
301,100.2
308,99.4
309,100.6
315,100.3
316,99.7
323,100.1
324,99.9
331,99.4
332,100.6
339,99.7
340,100.3
347,100.3
348,99.7
355,99
356,101
362,100.4
363,99.6
370,100
371,100
378,99.9
379,100.1
386,99.8
387,100.2
394,99.8
395,100.2
402,100.6
403,99.4
410,99.8
411,100.2
418,100.1
546,99.9
425,100.3
426,99.7
433,100.8
434,99.2
441,99.8
442,100.2
449,99.6
450,100.4
457,99.8
458,100.2
465,100.5
466,99.5
473,99.9
474,100.1
481,100.2
482,99.8
489,100.1
490,99.9
497,99.4
498,100.6
505,99.4
506,100.6
513,99.8
514,100.2
521,99.8
522,100.2
529,100.2
530,99.8
537,100.1
538,99.9
548,100.5
549,99.5
556,99.8
557,100.2
564,100.1
565,99.9
568,100
569,100
576,99.3
577,100.7
583,99.5
584,100.5
591,100
592,100
599,99.5
600,100.5
606,99.9
607,100.1
614,99.5
615,100.5
622,100
623,100
630,100.2
631,99.8
638,100
639,100
646,99.9
647,100.1
654,99.8
655,100.2
662,99.8
663,100.2
670,99.8
671,100.2
678,100.2
679,99.8
686,100
687,100
694,99.8
695,100.2
702,100.2
703,99.8
710,99.5
711,100.5
718,99.9
719,100.1
726,100.1
727,99.9
734,100
735,100
742,99.9
743,100.1
750,100.1
751,99.9
758,99.7
759,100.3
766,99.9
767,100.1
774,100.2
775,99.8
782,99.4
783,100.6
790,99.9
791,100.1
798,100
799,100
806,99.5
807,100.5
814,99.5
815,100.5
822,100.3
823,99.7
830,99.1
831,100.9
838,99.5
839,100.5
846,99.6
847,100.4
877,100
876,100
860,99.9
861,100.1
868,99.8
869,100.2
879,100.2
880,99.8
887,100.1
888,99.9
895,100
896,100
903,100.2
904,99.8
911,100.5
912,99.5
919,100.2
920,99.8
927,100.2
928,99.8
935,99.8
936,100.2
943,100.5
944,99.5
951,100.3
952,99.7
959,99.6
960,100.4
967,99.7
968,100.3
975,99.5
976,100.5
983,99.7
984,100.3
991,100
992,100
999,99.4
1000,100.6
1007,99.9
1008,100.1
1015,99.9
1016,100.1
1023,99.8
1024,100.2
1031,99.7
1032,100.3
1039,99.5
1040,100.5
1056,99.7
1057,100.3
1064,100
1065,100
1072,99.7
1073,100.3
1080,99.6
1081,100.4
1088,100.5
1089,99.5
1096,100.2
1097,99.8
1104,99.6
1105,100.4
1112,100.1
1113,99.9
1119,99.9
1120,100.1
1127,100.2
1128,99.8
1135,99.6
1136,100.4
1143,99.7
1144,100.3
1153,100
1154,100
1159,98.1
1160,101.9
1165,98.9
1166,101.1
