id,name
1,ENSG00000000003_at
2,ENSG00000000005_at
3,ENSG00000000419_at
4,ENSG00000000457_at
5,ENSG00000000460_at
6,ENSG00000000938_at
7,ENSG00000000971_at
8,ENSG00000001036_at
9,ENSG00000001084_at
10,ENSG00000001167_at
11,ENSG00000001460_at
12,ENSG00000001461_at
13,ENSG00000001497_at
14,ENSG00000001561_at
15,ENSG00000001617_at
16,ENSG00000001626_at
17,ENSG00000001629_at
18,ENSG00000002016_at
19,ENSG00000002079_at
20,ENSG00000002330_at
21,ENSG00000002549_at
22,ENSG00000002586_at
23,ENSG00000002587_at
24,ENSG00000002726_at
25,ENSG00000002745_at
26,ENSG00000002746_at
27,ENSG00000002834_at
28,ENSG00000002919_at
29,ENSG00000002933_at
30,ENSG00000003056_at
31,ENSG00000003096_at
32,ENSG00000003137_at
33,ENSG00000003147_at
34,ENSG00000003249_at
35,ENSG00000003393_at
36,ENSG00000003400_at
37,ENSG00000003402_at
38,ENSG00000003436_at
39,ENSG00000003509_at
40,ENSG00000003756_at
41,ENSG00000003987_at
42,ENSG00000003989_at
43,ENSG00000004059_at
44,ENSG00000004139_at
45,ENSG00000004142_at
46,ENSG00000004399_at
47,ENSG00000004455_at
48,ENSG00000004468_at
49,ENSG00000004478_at
50,ENSG00000004487_at
51,ENSG00000004534_at
52,ENSG00000004660_at
53,ENSG00000004700_at
54,ENSG00000004766_at
55,ENSG00000004776_at
56,ENSG00000004777_at
57,ENSG00000004779_at
58,ENSG00000004799_at
59,ENSG00000004809_at
60,ENSG00000004838_at
61,ENSG00000004846_at
62,ENSG00000004848_at
63,ENSG00000004864_at
64,ENSG00000004866_at
65,ENSG00000004897_at
66,ENSG00000004939_at
67,ENSG00000004948_at
68,ENSG00000004961_at
69,ENSG00000004975_at
70,ENSG00000005001_at
71,ENSG00000005007_at
72,ENSG00000005020_at
73,ENSG00000005022_at
74,ENSG00000005059_at
75,ENSG00000005073_at
76,ENSG00000005075_at
77,ENSG00000005102_at
78,ENSG00000005108_at
79,ENSG00000005156_at
80,ENSG00000005175_at
81,ENSG00000005187_at
82,ENSG00000005189_at
83,ENSG00000005194_at
84,ENSG00000005206_at
85,ENSG00000005238_at
86,ENSG00000005243_at
87,ENSG00000005249_at
88,ENSG00000005302_at
89,ENSG00000005339_at
90,ENSG00000005379_at
91,ENSG00000005381_at
92,ENSG00000005421_at
93,ENSG00000005436_at
94,ENSG00000005448_at
95,ENSG00000005469_at
96,ENSG00000005471_at
97,ENSG00000005483_at
98,ENSG00000005486_at
99,ENSG00000005513_at
100,ENSG00000005700_at
101,ENSG00000005801_at
102,ENSG00000005810_at
103,ENSG00000005812_at
104,ENSG00000005844_at
105,ENSG00000005882_at
106,ENSG00000005884_at
107,ENSG00000005889_at
108,ENSG00000005893_at
109,ENSG00000005961_at
110,ENSG00000005981_at
111,ENSG00000006007_at
112,ENSG00000006015_at
113,ENSG00000006016_at
114,ENSG00000006025_at
115,ENSG00000006042_at
116,ENSG00000006047_at
117,ENSG00000006062_at
118,ENSG00000006071_at
119,ENSG00000006116_at
120,ENSG00000006118_at
121,ENSG00000006128_at
122,ENSG00000006194_at
123,ENSG00000006210_at
124,ENSG00000006282_at
125,ENSG00000006283_at
126,ENSG00000006327_at
127,ENSG00000006377_at
128,ENSG00000006432_at
129,ENSG00000006451_at
130,ENSG00000006453_at
131,ENSG00000006459_at
132,ENSG00000006468_at
133,ENSG00000006530_at
134,ENSG00000006534_at
135,ENSG00000006555_at
136,ENSG00000006576_at
137,ENSG00000006606_at
138,ENSG00000006607_at
139,ENSG00000006611_at
140,ENSG00000006625_at
141,ENSG00000006634_at
142,ENSG00000006638_at
143,ENSG00000006652_at
144,ENSG00000006659_at
145,ENSG00000006695_at
146,ENSG00000006704_at
147,ENSG00000006712_at
148,ENSG00000006715_at
149,ENSG00000006740_at
150,ENSG00000006744_at
151,ENSG00000006747_at
152,ENSG00000006756_at
153,ENSG00000006757_at
154,ENSG00000006788_at
155,ENSG00000006831_at
156,ENSG00000007001_at
157,ENSG00000007038_at
158,ENSG00000007047_at
159,ENSG00000007062_at
160,ENSG00000007080_at
161,ENSG00000007129_at
162,ENSG00000007168_at
163,ENSG00000007171_at
164,ENSG00000007174_at
165,ENSG00000007202_at
166,ENSG00000007216_at
167,ENSG00000007237_at
168,ENSG00000007255_at
169,ENSG00000007264_at
170,ENSG00000007306_at
171,ENSG00000007312_at
172,ENSG00000007314_at
173,ENSG00000007341_at
174,ENSG00000007350_at
175,ENSG00000007372_at
176,ENSG00000007376_at
177,ENSG00000007384_at
178,ENSG00000007392_at
179,ENSG00000007402_at
180,ENSG00000007516_at
181,ENSG00000007520_at
182,ENSG00000007541_at
183,ENSG00000007866_at
184,ENSG00000007908_at
185,ENSG00000007923_at
186,ENSG00000007933_at
187,ENSG00000007944_at
188,ENSG00000007952_at
189,ENSG00000007968_at
190,ENSG00000008018_at
191,ENSG00000008056_at
192,ENSG00000008083_at
193,ENSG00000008086_at
194,ENSG00000008118_at
195,ENSG00000008130_at
196,ENSG00000008196_at
197,ENSG00000008197_at
198,ENSG00000008226_at
199,ENSG00000008256_at
200,ENSG00000008277_at
201,ENSG00000008282_at
202,ENSG00000008283_at
203,ENSG00000008294_at
204,ENSG00000008300_at
205,ENSG00000008311_at
206,ENSG00000008323_at
207,ENSG00000008324_at
208,ENSG00000008382_at
209,ENSG00000008394_at
210,ENSG00000008405_at
211,ENSG00000008438_at
212,ENSG00000008441_at
213,ENSG00000008513_at
214,ENSG00000008516_at
215,ENSG00000008517_at
216,ENSG00000008710_at
217,ENSG00000008735_at
218,ENSG00000008838_at
219,ENSG00000008853_at
220,ENSG00000008869_at
221,ENSG00000008952_at
222,ENSG00000008988_at
223,ENSG00000009307_at
224,ENSG00000009335_at
225,ENSG00000009413_at
226,ENSG00000009694_at
227,ENSG00000009709_at
228,ENSG00000009724_at
229,ENSG00000009765_at
230,ENSG00000009780_at
231,ENSG00000009790_at
232,ENSG00000009830_at
233,ENSG00000009844_at
234,ENSG00000009950_at
235,ENSG00000009954_at
236,ENSG00000010017_at
237,ENSG00000010030_at
238,ENSG00000010072_at
239,ENSG00000010165_at
240,ENSG00000010244_at
241,ENSG00000010256_at
242,ENSG00000010270_at
243,ENSG00000010278_at
244,ENSG00000010292_at
245,ENSG00000010295_at
246,ENSG00000010310_at
247,ENSG00000010318_at
248,ENSG00000010319_at
249,ENSG00000010322_at
250,ENSG00000010327_at
251,ENSG00000010361_at
252,ENSG00000010379_at
253,ENSG00000010404_at
254,ENSG00000010438_at
