id,drug_id,cell_id,name,dose,time,replicate
128,7,1,3016016003,Low,2,1
129,7,1,3016016004,Low,2,2
144,7,1,3016016019,Low,24,1
145,7,1,3016016020,Low,24,2
136,7,1,3016016011,Low,8,1
137,7,1,3016016012,Low,8,2
130,7,1,3016016005,Middle,2,1
131,7,1,3016016006,Middle,2,2
146,7,1,3016016021,Middle,24,1
147,7,1,3016016022,Middle,24,2
138,7,1,3016016013,Middle,8,1
139,7,1,3016016014,Middle,8,2
165,8,1,3016017010,Control,2,1
166,8,1,3016017011,Control,2,2
181,8,1,3016017026,Control,24,1
182,8,1,3016017027,Control,24,2
173,8,1,3016017018,Control,8,1
174,8,1,3016017019,Control,8,2
171,8,1,3016017016,High,2,1
172,8,1,3016017017,High,2,2
187,8,1,3016018002,High,24,1
188,8,1,3016018003,High,24,2
179,8,1,3016017024,High,8,1
180,8,1,3016017025,High,8,2
167,8,1,3016017012,Low,2,1
168,8,1,3016017013,Low,2,2
183,8,1,3016017028,Low,24,1
184,8,1,3016017029,Low,24,2
175,8,1,3016017020,Low,8,1
176,8,1,3016017021,Low,8,2
169,8,1,3016017014,Middle,2,1
170,8,1,3016017015,Middle,2,2
185,8,1,3016017030,Middle,24,1
186,8,1,3016018001,Middle,24,2
177,8,1,3016017022,Middle,8,1
178,8,1,3016017023,Middle,8,2
189,9,1,3016018004,Control,2,1
190,9,1,3016018005,Control,2,2
205,9,1,3016018020,Control,24,1
206,9,1,3016018021,Control,24,2
197,9,1,3016018012,Control,8,1
198,9,1,3016018013,Control,8,2
195,9,1,3016018010,High,2,1
196,9,1,3016018011,High,2,2
211,9,1,3016018026,High,24,1
212,9,1,3016018027,High,24,2
203,9,1,3016018018,High,8,1
204,9,1,3016018019,High,8,2
191,9,1,3016018006,Low,2,1
192,9,1,3016018007,Low,2,2
207,9,1,3016018022,Low,24,1
208,9,1,3016018023,Low,24,2
199,9,1,3016018014,Low,8,1
200,9,1,3016018015,Low,8,2
193,9,1,3016018008,Middle,2,1
194,9,1,3016018009,Middle,2,2
209,9,1,3016018024,Middle,24,1
210,9,1,3016018025,Middle,24,2
201,9,1,3016018016,Middle,8,1
202,9,1,3016018017,Middle,8,2
213,10,1,3016018028,Control,2,1
214,10,1,3016018029,Control,2,2
229,10,1,3016019014,Control,24,1
230,10,1,3016019015,Control,24,2
221,10,1,3016019006,Control,8,1
222,10,1,3016019007,Control,8,2
219,10,1,3016019004,High,2,1
220,10,1,3016019005,High,2,2
235,10,1,3016019020,High,24,1
236,10,1,3016019021,High,24,2
227,10,1,3016019012,High,8,1
228,10,1,3016019013,High,8,2
215,10,1,3016018030,Low,2,1
216,10,1,3016019001,Low,2,2
231,10,1,3016019016,Low,24,1
232,10,1,3016019017,Low,24,2
223,10,1,3016019008,Low,8,1
224,10,1,3016019009,Low,8,2
217,10,1,3016019002,Middle,2,1
218,10,1,3016019003,Middle,2,2
233,10,1,3016019018,Middle,24,1
234,10,1,3016019019,Middle,24,2
225,10,1,3016019010,Middle,8,1
226,10,1,3016019011,Middle,8,2
237,11,1,3016019023,Control,2,2
854,11,1,3016041023,Control,2,1
252,11,1,3016020008,Control,24,1
253,11,1,3016020009,Control,24,2
244,11,1,3016019030,Control,8,1
245,11,1,3016020001,Control,8,2
242,11,1,3016019028,High,2,1
243,11,1,3016019029,High,2,2
258,11,1,3016020014,High,24,1
259,11,1,3016020015,High,24,2
250,11,1,3016020006,High,8,1
251,11,1,3016020007,High,8,2
238,11,1,3016019024,Low,2,1
239,11,1,3016019025,Low,2,2
254,11,1,3016020010,Low,24,1
255,11,1,3016020011,Low,24,2
246,11,1,3016020002,Low,8,1
247,11,1,3016020003,Low,8,2
240,11,1,3016019026,Middle,2,1
241,11,1,3016019027,Middle,2,2
256,11,1,3016020012,Middle,24,1
257,11,1,3016020013,Middle,24,2
248,11,1,3016020004,Middle,8,1
249,11,1,3016020005,Middle,8,2
272,12,1,3016021001,Control,2,1
273,12,1,3016021002,Control,2,2
265,12,1,3016020024,Control,24,1
266,12,1,3016020025,Control,24,2
280,12,1,3016021009,Control,8,1
281,12,1,3016021010,Control,8,2
278,12,1,3016021007,High,2,1
279,12,1,3016021008,High,2,2
271,12,1,3016020030,High,24,1
545,12,1,3016030010,High,24,2
263,12,1,3016020022,High,8,1
264,12,1,3016020023,High,8,2
274,12,1,3016021003,Low,2,1
275,12,1,3016021004,Low,2,2
267,12,1,3016020026,Low,24,1
268,12,1,3016020027,Low,24,2
282,12,1,3016021011,Low,8,1
283,12,1,3016021012,Low,8,2
276,12,1,3016021005,Middle,2,1
277,12,1,3016021006,Middle,2,2
269,12,1,3016020028,Middle,24,1
270,12,1,3016020029,Middle,24,2
261,12,1,3016020020,Middle,8,1
262,12,1,3016020021,Middle,8,2
284,13,1,3016021013,Control,2,1
285,13,1,3016021014,Control,2,2
300,13,1,3016021029,Control,24,1
301,13,1,3016021030,Control,24,2
292,13,1,3016021021,Control,8,1
293,13,1,3016021022,Control,8,2
290,13,1,3016021019,High,2,1
291,13,1,3016021020,High,2,2
306,13,1,3016022005,High,24,1
307,13,1,3016022006,High,24,2
298,13,1,3016021027,High,8,1
299,13,1,3016021028,High,8,2
286,13,1,3016021015,Low,2,1
287,13,1,3016021016,Low,2,2
302,13,1,3016022001,Low,24,1
303,13,1,3016022002,Low,24,2
294,13,1,3016021023,Low,8,1
295,13,1,3016021024,Low,8,2
288,13,1,3016021017,Middle,2,1
289,13,1,3016021018,Middle,2,2
304,13,1,3016022003,Middle,24,1
305,13,1,3016022004,Middle,24,2
296,13,1,3016021025,Middle,8,1
297,13,1,3016021026,Middle,8,2
308,14,1,3016022007,Control,2,1
309,14,1,3016022008,Control,2,2
323,14,1,3016022023,Control,24,1
324,14,1,3016022024,Control,24,2
315,14,1,3016022015,Control,8,1
316,14,1,3016022016,Control,8,2
313,14,1,3016022013,High,2,1
314,14,1,3016022014,High,2,2
329,14,1,3016022029,High,24,1
330,14,1,3016022030,High,24,2
321,14,1,3016022021,High,8,1
322,14,1,3016022022,High,8,2
310,14,1,3016022010,Low,2,2
547,14,1,3016030012,Low,2,1
325,14,1,3016022025,Low,24,1
326,14,1,3016022026,Low,24,2
317,14,1,3016022017,Low,8,1
318,14,1,3016022018,Low,8,2
311,14,1,3016022011,Middle,2,1
312,14,1,3016022012,Middle,2,2
327,14,1,3016022027,Middle,24,1
328,14,1,3016022028,Middle,24,2
319,14,1,3016022019,Middle,8,1
320,14,1,3016022020,Middle,8,2
331,15,1,3016023001,Control,2,1
332,15,1,3016023002,Control,2,2
347,15,1,3016023017,Control,24,1
348,15,1,3016023018,Control,24,2
339,15,1,3016023009,Control,8,1
340,15,1,3016023010,Control,8,2
337,15,1,3016023007,High,2,1
338,15,1,3016023008,High,2,2
353,15,1,3016023023,High,24,1
354,15,1,3016023024,High,24,2
345,15,1,3016023015,High,8,1
346,15,1,3016023016,High,8,2
333,15,1,3016023003,Low,2,1
334,15,1,3016023004,Low,2,2
349,15,1,3016023019,Low,24,1
350,15,1,3016023020,Low,24,2
341,15,1,3016023011,Low,8,1
342,15,1,3016023012,Low,8,2
335,15,1,3016023005,Middle,2,1
336,15,1,3016023006,Middle,2,2
351,15,1,3016023021,Middle,24,1
352,15,1,3016023022,Middle,24,2
343,15,1,3016023013,Middle,8,1
344,15,1,3016023014,Middle,8,2
355,16,1,3016023025,Control,2,1
356,16,1,3016023026,Control,2,2
370,16,1,3016024011,Control,24,1
371,16,1,3016024012,Control,24,2
362,16,1,3016024003,Control,8,1
363,16,1,3016024004,Control,8,2
361,16,1,3016024001,High,2,1
1055,16,1,3016048017,High,2,2
376,16,1,3016024017,High,24,1
377,16,1,3016024018,High,24,2
368,16,1,3016024009,High,8,1
369,16,1,3016024010,High,8,2
357,16,1,3016023027,Low,2,1
358,16,1,3016023028,Low,2,2
372,16,1,3016024013,Low,24,1
373,16,1,3016024014,Low,24,2
364,16,1,3016024005,Low,8,1
365,16,1,3016024006,Low,8,2
359,16,1,3016023029,Middle,2,1
360,16,1,3016023030,Middle,2,2
374,16,1,3016024015,Middle,24,1
375,16,1,3016024016,Middle,24,2
366,16,1,3016024007,Middle,8,1
367,16,1,3016024008,Middle,8,2
378,17,1,3016024019,Control,2,1
379,17,1,3016024020,Control,2,2
394,17,1,3016025005,Control,24,1
395,17,1,3016025006,Control,24,2
386,17,1,3016024027,Control,8,1
387,17,1,3016024028,Control,8,2
384,17,1,3016024025,High,2,1
385,17,1,3016024026,High,2,2
400,17,1,3016025011,High,24,1
401,17,1,3016025012,High,24,2
392,17,1,3016025003,High,8,1
393,17,1,3016025004,High,8,2
380,17,1,3016024021,Low,2,1
381,17,1,3016024022,Low,2,2
396,17,1,3016025007,Low,24,1
397,17,1,3016025008,Low,24,2
388,17,1,3016024029,Low,8,1
389,17,1,3016024030,Low,8,2
382,17,1,3016024023,Middle,2,1
383,17,1,3016024024,Middle,2,2
398,17,1,3016025009,Middle,24,1
399,17,1,3016025010,Middle,24,2
390,17,1,3016025001,Middle,8,1
391,17,1,3016025002,Middle,8,2
402,18,1,3016025013,Control,2,1
403,18,1,3016025014,Control,2,2
418,18,1,3016025029,Control,24,1
546,18,1,3016030011,Control,24,2
410,18,1,3016025021,Control,8,1
411,18,1,3016025022,Control,8,2
408,18,1,3016025019,High,2,1
409,18,1,3016025020,High,2,2
423,18,1,3016026004,High,24,1
424,18,1,3016026005,High,24,2
416,18,1,3016025027,High,8,1
417,18,1,3016025028,High,8,2
404,18,1,3016025015,Low,2,1
405,18,1,3016025016,Low,2,2
419,18,1,3016025030,Low,24,1
420,18,1,3016026001,Low,24,2
412,18,1,3016025023,Low,8,1
413,18,1,3016025024,Low,8,2
406,18,1,3016025017,Middle,2,1
407,18,1,3016025018,Middle,2,2
421,18,1,3016026002,Middle,24,1
422,18,1,3016026003,Middle,24,2
414,18,1,3016025025,Middle,8,1
415,18,1,3016025026,Middle,8,2
425,19,1,3016026006,Control,2,1
426,19,1,3016026007,Control,2,2
441,19,1,3016026022,Control,24,1
442,19,1,3016026023,Control,24,2
433,19,1,3016026014,Control,8,1
434,19,1,3016026015,Control,8,2
431,19,1,3016026012,High,2,1
432,19,1,3016026013,High,2,2
447,19,1,3016026028,High,24,1
448,19,1,3016026029,High,24,2
439,19,1,3016026020,High,8,1
440,19,1,3016026021,High,8,2
427,19,1,3016026008,Low,2,1
428,19,1,3016026009,Low,2,2
443,19,1,3016026024,Low,24,1
444,19,1,3016026025,Low,24,2
435,19,1,3016026016,Low,8,1
436,19,1,3016026017,Low,8,2
429,19,1,3016026010,Middle,2,1
430,19,1,3016026011,Middle,2,2
445,19,1,3016026026,Middle,24,1
446,19,1,3016026027,Middle,24,2
437,19,1,3016026018,Middle,8,1
438,19,1,3016026019,Middle,8,2
449,20,1,3016026030,Control,2,1
450,20,1,3016027001,Control,2,2
465,20,1,3016027016,Control,24,1
466,20,1,3016027017,Control,24,2
457,20,1,3016027008,Control,8,1
458,20,1,3016027009,Control,8,2
455,20,1,3016027006,High,2,1
456,20,1,3016027007,High,2,2
471,20,1,3016027022,High,24,1
472,20,1,3016027023,High,24,2
463,20,1,3016027014,High,8,1
464,20,1,3016027015,High,8,2
451,20,1,3016027002,Low,2,1
452,20,1,3016027003,Low,2,2
467,20,1,3016027018,Low,24,1
468,20,1,3016027019,Low,24,2
459,20,1,3016027010,Low,8,1
460,20,1,3016027011,Low,8,2
453,20,1,3016027004,Middle,2,1
454,20,1,3016027005,Middle,2,2
469,20,1,3016027020,Middle,24,1
470,20,1,3016027021,Middle,24,2
461,20,1,3016027012,Middle,8,1
462,20,1,3016027013,Middle,8,2
473,21,1,3016027024,Control,2,1
474,21,1,3016027025,Control,2,2
489,21,1,3016028014,Control,24,1
490,21,1,3016028015,Control,24,2
481,21,1,3016028006,Control,8,1
482,21,1,3016028007,Control,8,2
479,21,1,3016028004,High,2,1
480,21,1,3016028005,High,2,2
495,21,1,3016028020,High,24,1
496,21,1,3016028021,High,24,2
487,21,1,3016028012,High,8,1
488,21,1,3016028013,High,8,2
475,21,1,3016027026,Low,2,1
476,21,1,3016028001,Low,2,2
491,21,1,3016028016,Low,24,1
492,21,1,3016028017,Low,24,2
483,21,1,3016028008,Low,8,1
484,21,1,3016028009,Low,8,2
477,21,1,3016028002,Middle,2,1
478,21,1,3016028003,Middle,2,2
493,21,1,3016028018,Middle,24,1
494,21,1,3016028019,Middle,24,2
485,21,1,3016028010,Middle,8,1
486,21,1,3016028011,Middle,8,2
497,22,1,3016028022,Control,2,1
498,22,1,3016028023,Control,2,2
513,22,1,3016029008,Control,24,1
514,22,1,3016029009,Control,24,2
505,22,1,3016028030,Control,8,1
506,22,1,3016029001,Control,8,2
503,22,1,3016028028,High,2,1
504,22,1,3016028029,High,2,2
519,22,1,3016029014,High,24,1
520,22,1,3016029015,High,24,2
511,22,1,3016029006,High,8,1
512,22,1,3016029007,High,8,2
499,22,1,3016028024,Low,2,1
500,22,1,3016028025,Low,2,2
515,22,1,3016029010,Low,24,1
516,22,1,3016029011,Low,24,2
507,22,1,3016029002,Low,8,1
508,22,1,3016029003,Low,8,2
501,22,1,3016028026,Middle,2,1
502,22,1,3016028027,Middle,2,2
517,22,1,3016029012,Middle,24,1
518,22,1,3016029013,Middle,24,2
509,22,1,3016029004,Middle,8,1
510,22,1,3016029005,Middle,8,2
521,23,1,3016029016,Control,2,1
522,23,1,3016029017,Control,2,2
537,23,1,3016030002,Control,24,1
538,23,1,3016030003,Control,24,2
529,23,1,3016029024,Control,8,1
530,23,1,3016029025,Control,8,2
527,23,1,3016029022,High,2,1
528,23,1,3016029023,High,2,2
543,23,1,3016030008,High,24,1
544,23,1,3016030009,High,24,2
535,23,1,3016029030,High,8,1
536,23,1,3016030001,High,8,2
523,23,1,3016029018,Low,2,1
524,23,1,3016029019,Low,2,2
539,23,1,3016030004,Low,24,1
540,23,1,3016030005,Low,24,2
531,23,1,3016029026,Low,8,1
532,23,1,3016029027,Low,8,2
525,23,1,3016029020,Middle,2,1
526,23,1,3016029021,Middle,2,2
541,23,1,3016030006,Middle,24,1
542,23,1,3016030007,Middle,24,2
533,23,1,3016029028,Middle,8,1
534,23,1,3016029029,Middle,8,2
548,24,1,3016030013,Control,2,1
549,24,1,3016030014,Control,2,2
564,24,1,3016030029,Control,24,1
565,24,1,3016030030,Control,24,2
556,24,1,3016030021,Control,8,1
557,24,1,3016030022,Control,8,2
554,24,1,3016030019,High,2,1
555,24,1,3016030020,High,2,2
566,24,1,3016031005,High,24,1
567,24,1,3016031006,High,24,2
562,24,1,3016030027,High,8,1
563,24,1,3016030028,High,8,2
550,24,1,3016030015,Low,2,1
551,24,1,3016030016,Low,2,2
1047,24,1,3016048009,Low,24,1
1048,24,1,3016048010,Low,24,2
558,24,1,3016030023,Low,8,1
559,24,1,3016030024,Low,8,2
552,24,1,3016030017,Middle,2,1
553,24,1,3016030018,Middle,2,2
1049,24,1,3016048011,Middle,24,1
1050,24,1,3016048012,Middle,24,2
560,24,1,3016030025,Middle,8,1
561,24,1,3016030026,Middle,8,2
568,25,1,3016031007,Control,2,1
569,25,1,3016031008,Control,2,2
583,25,1,3016031023,Control,24,1
584,25,1,3016031024,Control,24,2
576,25,1,3016031015,Control,8,1
577,25,1,3016031016,Control,8,2
574,25,1,3016031013,High,2,1
575,25,1,3016031014,High,2,2
589,25,1,3016031029,High,24,1
590,25,1,3016031030,High,24,2
582,25,1,3016031022,High,8,2
856,25,1,3016041027,High,8,1
570,25,1,3016031009,Low,2,1
571,25,1,3016031010,Low,2,2
585,25,1,3016031025,Low,24,1
586,25,1,3016031026,Low,24,2
578,25,1,3016031017,Low,8,1
579,25,1,3016031018,Low,8,2
572,25,1,3016031011,Middle,2,1
573,25,1,3016031012,Middle,2,2
587,25,1,3016031027,Middle,24,1
588,25,1,3016031028,Middle,24,2
580,25,1,3016031019,Middle,8,1
581,25,1,3016031020,Middle,8,2
591,26,1,3016032001,Control,2,1
592,26,1,3016032002,Control,2,2
606,26,1,3016032016,Control,24,1
607,26,1,3016032017,Control,24,2
599,26,1,3016032009,Control,8,1
600,26,1,3016032010,Control,8,2
597,26,1,3016032007,High,2,1
598,26,1,3016032008,High,2,2
612,26,1,3016032022,High,24,1
613,26,1,3016032023,High,24,2
604,26,1,3016032014,High,8,1
605,26,1,3016032015,High,8,2
593,26,1,3016032003,Low,2,1
594,26,1,3016032004,Low,2,2
608,26,1,3016032018,Low,24,1
609,26,1,3016032019,Low,24,2
601,26,1,3016032011,Low,8,2
855,26,1,3016041026,Low,8,1
595,26,1,3016032005,Middle,2,1
596,26,1,3016032006,Middle,2,2
610,26,1,3016032020,Middle,24,1
611,26,1,3016032021,Middle,24,2
602,26,1,3016032012,Middle,8,1
603,26,1,3016032013,Middle,8,2
614,27,1,3016033018,Control,2,1
615,27,1,3016033019,Control,2,2
630,27,1,3016034004,Control,24,1
631,27,1,3016034005,Control,24,2
622,27,1,3016033026,Control,8,1
623,27,1,3016033027,Control,8,2
620,27,1,3016033024,High,2,1
621,27,1,3016033025,High,2,2
636,27,1,3016034010,High,24,1
637,27,1,3016034011,High,24,2
628,27,1,3016034002,High,8,1
629,27,1,3016034003,High,8,2
616,27,1,3016033020,Low,2,1
617,27,1,3016033021,Low,2,2
632,27,1,3016034006,Low,24,1
633,27,1,3016034007,Low,24,2
624,27,1,3016033028,Low,8,1
625,27,1,3016033029,Low,8,2
618,27,1,3016033022,Middle,2,1
619,27,1,3016033023,Middle,2,2
634,27,1,3016034008,Middle,24,1
635,27,1,3016034009,Middle,24,2
626,27,1,3016033030,Middle,8,1
627,27,1,3016034001,Middle,8,2
638,28,1,3016034012,Control,2,1
639,28,1,3016034013,Control,2,2
654,28,1,3016034028,Control,24,1
655,28,1,3016034029,Control,24,2
646,28,1,3016034020,Control,8,1
647,28,1,3016034021,Control,8,2
644,28,1,3016034018,High,2,1
645,28,1,3016034019,High,2,2
660,28,1,3016035004,High,24,1
661,28,1,3016035005,High,24,2
652,28,1,3016034026,High,8,1
653,28,1,3016034027,High,8,2
640,28,1,3016034014,Low,2,1
641,28,1,3016034015,Low,2,2
656,28,1,3016034030,Low,24,1
657,28,1,3016035001,Low,24,2
648,28,1,3016034022,Low,8,1
649,28,1,3016034023,Low,8,2
642,28,1,3016034016,Middle,2,1
643,28,1,3016034017,Middle,2,2
658,28,1,3016035002,Middle,24,1
659,28,1,3016035003,Middle,24,2
650,28,1,3016034024,Middle,8,1
651,28,1,3016034025,Middle,8,2
662,29,1,3016035006,Control,2,1
663,29,1,3016035007,Control,2,2
678,29,1,3016035022,Control,24,1
679,29,1,3016035023,Control,24,2
670,29,1,3016035014,Control,8,1
671,29,1,3016035015,Control,8,2
668,29,1,3016035012,High,2,1
669,29,1,3016035013,High,2,2
684,29,1,3016035028,High,24,1
685,29,1,3016035029,High,24,2
676,29,1,3016035020,High,8,1
677,29,1,3016035021,High,8,2
664,29,1,3016035008,Low,2,1
665,29,1,3016035009,Low,2,2
680,29,1,3016035024,Low,24,1
681,29,1,3016035025,Low,24,2
672,29,1,3016035016,Low,8,1
673,29,1,3016035017,Low,8,2
666,29,1,3016035010,Middle,2,1
667,29,1,3016035011,Middle,2,2
682,29,1,3016035026,Middle,24,1
683,29,1,3016035027,Middle,24,2
674,29,1,3016035018,Middle,8,1
675,29,1,3016035019,Middle,8,2
686,30,1,3016035030,Control,2,1
687,30,1,3016036001,Control,2,2
702,30,1,3016036016,Control,24,1
703,30,1,3016036017,Control,24,2
694,30,1,3016036008,Control,8,1
695,30,1,3016036009,Control,8,2
692,30,1,3016036006,High,2,1
693,30,1,3016036007,High,2,2
708,30,1,3016036022,High,24,1
709,30,1,3016036023,High,24,2
700,30,1,3016036014,High,8,1
701,30,1,3016036015,High,8,2
688,30,1,3016036002,Low,2,1
689,30,1,3016036003,Low,2,2
704,30,1,3016036018,Low,24,1
705,30,1,3016036019,Low,24,2
696,30,1,3016036010,Low,8,1
697,30,1,3016036011,Low,8,2
690,30,1,3016036004,Middle,2,1
691,30,1,3016036005,Middle,2,2
706,30,1,3016036020,Middle,24,1
707,30,1,3016036021,Middle,24,2
698,30,1,3016036012,Middle,8,1
699,30,1,3016036013,Middle,8,2
710,31,1,3016036024,Control,2,1
711,31,1,3016036025,Control,2,2
726,31,1,3016037010,Control,24,1
727,31,1,3016037011,Control,24,2
718,31,1,3016037002,Control,8,1
719,31,1,3016037003,Control,8,2
716,31,1,3016036030,High,2,1
717,31,1,3016037001,High,2,2
732,31,1,3016037016,High,24,1
733,31,1,3016037017,High,24,2
724,31,1,3016037008,High,8,1
725,31,1,3016037009,High,8,2
712,31,1,3016036026,Low,2,1
713,31,1,3016036027,Low,2,2
728,31,1,3016037012,Low,24,1
729,31,1,3016037013,Low,24,2
720,31,1,3016037004,Low,8,1
721,31,1,3016037005,Low,8,2
714,31,1,3016036028,Middle,2,1
715,31,1,3016036029,Middle,2,2
730,31,1,3016037014,Middle,24,1
731,31,1,3016037015,Middle,24,2
722,31,1,3016037006,Middle,8,1
723,31,1,3016037007,Middle,8,2
734,32,1,3016037018,Control,2,1
735,32,1,3016037019,Control,2,2
750,32,1,3016038004,Control,24,1
751,32,1,3016038005,Control,24,2
742,32,1,3016037026,Control,8,1
743,32,1,3016037027,Control,8,2
740,32,1,3016037024,High,2,1
741,32,1,3016037025,High,2,2
756,32,1,3016038010,High,24,1
757,32,1,3016038011,High,24,2
748,32,1,3016038002,High,8,1
749,32,1,3016038003,High,8,2
736,32,1,3016037020,Low,2,1
737,32,1,3016037021,Low,2,2
752,32,1,3016038006,Low,24,1
753,32,1,3016038007,Low,24,2
744,32,1,3016037028,Low,8,1
745,32,1,3016037029,Low,8,2
738,32,1,3016037022,Middle,2,1
739,32,1,3016037023,Middle,2,2
754,32,1,3016038008,Middle,24,1
755,32,1,3016038009,Middle,24,2
746,32,1,3016037030,Middle,8,1
747,32,1,3016038001,Middle,8,2
758,33,1,3016038015,Control,2,1
759,33,1,3016038016,Control,2,2
774,33,1,3016039001,Control,24,1
775,33,1,3016039002,Control,24,2
766,33,1,3016038023,Control,8,1
767,33,1,3016038024,Control,8,2
