id,drug_id,cell_id,name,dose,time,replicate
1,1,1,3016011022,Control,2,1
2,1,1,3016011023,Control,2,2
17,1,1,3016012008,Control,24,1
18,1,1,3016012009,Control,24,2
9,1,1,3016011030,Control,8,1
10,1,1,3016012001,Control,8,2
7,1,1,3016011028,High,2,1
8,1,1,3016011029,High,2,2
23,1,1,3016012014,High,24,1
24,1,1,3016012015,High,24,2
15,1,1,3016012006,High,8,1
16,1,1,3016012007,High,8,2
3,1,1,3016011024,Low,2,1
4,1,1,3016011025,Low,2,2
19,1,1,3016012010,Low,24,1
20,1,1,3016012011,Low,24,2
11,1,1,3016012002,Low,8,1
12,1,1,3016012003,Low,8,2
5,1,1,3016011026,Middle,2,1
6,1,1,3016011027,Middle,2,2
21,1,1,3016012012,Middle,24,1
22,1,1,3016012013,Middle,24,2
13,1,1,3016012004,Middle,8,1
14,1,1,3016012005,Middle,8,2
25,2,1,3016012016,Control,2,1
26,2,1,3016012017,Control,2,2
65,2,1,3016013026,Control,24,1
66,2,1,3016013027,Control,24,2
33,2,1,3016012024,Control,8,1
34,2,1,3016012025,Control,8,2
31,2,1,3016012022,High,2,1
32,2,1,3016012023,High,2,2
71,2,1,3016014002,High,24,1
72,2,1,3016014003,High,24,2
39,2,1,3016012030,High,8,1
64,2,1,3016013025,High,8,2
27,2,1,3016012018,Low,2,1
28,2,1,3016012019,Low,2,2
67,2,1,3016013028,Low,24,1
68,2,1,3016013029,Low,24,2
35,2,1,3016012026,Low,8,1
36,2,1,3016012027,Low,8,2
29,2,1,3016012020,Middle,2,1
30,2,1,3016012021,Middle,2,2
69,2,1,3016013030,Middle,24,1
70,2,1,3016014001,Middle,24,2
37,2,1,3016012028,Middle,8,1
38,2,1,3016012029,Middle,8,2
40,3,1,3016013001,Control,2,1
41,3,1,3016013002,Control,2,2
56,3,1,3016013017,Control,24,1
57,3,1,3016013018,Control,24,2
48,3,1,3016013009,Control,8,1
49,3,1,3016013010,Control,8,2
46,3,1,3016013007,High,2,1
47,3,1,3016013008,High,2,2
62,3,1,3016013023,High,24,1
63,3,1,3016013024,High,24,2
54,3,1,3016013015,High,8,1
55,3,1,3016013016,High,8,2
42,3,1,3016013003,Low,2,1
43,3,1,3016013004,Low,2,2
58,3,1,3016013019,Low,24,1
59,3,1,3016013020,Low,24,2
50,3,1,3016013011,Low,8,1
51,3,1,3016013012,Low,8,2
44,3,1,3016013005,Middle,2,1
45,3,1,3016013006,Middle,2,2
60,3,1,3016013021,Middle,24,1
61,3,1,3016013022,Middle,24,2
52,3,1,3016013013,Middle,8,1
53,3,1,3016013014,Middle,8,2
73,4,1,3016014004,Control,2,1
74,4,1,3016014005,Control,2,2
89,4,1,3016014020,Control,24,1
90,4,1,3016014021,Control,24,2
81,4,1,3016014012,Control,8,1
82,4,1,3016014013,Control,8,2
79,4,1,3016014010,High,2,1
80,4,1,3016014011,High,2,2
95,4,1,3016014026,High,24,1
96,4,1,3016014027,High,24,2
87,4,1,3016014018,High,8,1
88,4,1,3016014019,High,8,2
75,4,1,3016014006,Low,2,1
76,4,1,3016014007,Low,2,2
91,4,1,3016014022,Low,24,1
92,4,1,3016014023,Low,24,2
83,4,1,3016014014,Low,8,1
84,4,1,3016014015,Low,8,2
77,4,1,3016014008,Middle,2,1
78,4,1,3016014009,Middle,2,2
93,4,1,3016014024,Middle,24,1
94,4,1,3016014025,Middle,24,2
85,4,1,3016014016,Middle,8,1
86,4,1,3016014017,Middle,8,2
97,5,1,3016014028,Control,2,1
98,5,1,3016014029,Control,2,2
110,5,1,3016015014,Control,24,1
111,5,1,3016015015,Control,24,2
104,5,1,3016015006,Control,8,1
105,5,1,3016015007,Control,8,2
103,5,1,3016015005,High,2,2
1051,5,1,3016048013,High,2,1
115,5,1,3016015020,High,24,1
116,5,1,3016015021,High,24,2
108,5,1,3016015012,High,8,1
109,5,1,3016015013,High,8,2
99,5,1,3016014030,Low,2,1
100,5,1,3016015001,Low,2,2
112,5,1,3016015017,Low,24,2
260,5,1,3016020019,Low,24,1
1052,5,1,3016048014,Low,8,2
1151,5,1,3016051026,Low,8,1
101,5,1,3016015002,Middle,2,1
102,5,1,3016015003,Middle,2,2
113,5,1,3016015018,Middle,24,1
114,5,1,3016015019,Middle,24,2
106,5,1,3016015010,Middle,8,1
107,5,1,3016015011,Middle,8,2
117,6,1,3016015022,Control,2,1
118,6,1,3016015023,Control,2,2
163,6,1,3016017008,Control,24,1
164,6,1,3016017009,Control,24,2
125,6,1,3016015030,Control,8,1
156,6,1,3016017001,Control,8,2
123,6,1,3016015028,High,2,1
124,6,1,3016015029,High,2,2
154,6,1,3016016029,High,24,1
155,6,1,3016016030,High,24,2
161,6,1,3016017006,High,8,1
162,6,1,3016017007,High,8,2
119,6,1,3016015024,Low,2,1
120,6,1,3016015025,Low,2,2
150,6,1,3016016025,Low,24,1
151,6,1,3016016026,Low,24,2
157,6,1,3016017002,Low,8,1
158,6,1,3016017003,Low,8,2
121,6,1,3016015026,Middle,2,1
122,6,1,3016015027,Middle,2,2
152,6,1,3016016027,Middle,24,1
153,6,1,3016016028,Middle,24,2
159,6,1,3016017004,Middle,8,1
160,6,1,3016017005,Middle,8,2
126,7,1,3016016001,Control,2,1
127,7,1,3016016002,Control,2,2
142,7,1,3016016017,Control,24,1
143,7,1,3016016018,Control,24,2
134,7,1,3016016009,Control,8,1
135,7,1,3016016010,Control,8,2
132,7,1,3016016007,High,2,1
133,7,1,3016016008,High,2,2
148,7,1,3016016023,High,24,1
149,7,1,3016016024,High,24,2
140,7,1,3016016015,High,8,1
141,7,1,3016016016,High,8,2
